Technology Mid-Type,Technology Broad Category,Application - Distribution Infrastructure Services,Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Mid-Type,Discharge Duration at Rated Power (hrs),Rated Capacity (kWh),Rated Power (kW),Storage Capacity (kWh),Sum for kWh Distribution Services - Distribution Upgrade Deferral,Sum for kWh Distribution Services - Reliability,Announced Date,Annual Maintenance or Warranty Cost (USD),Annual Operational Cost - OPEX (USD),Application - Ancillary Services,Application - Bulk Energy Services (General Energy Applications),Application - Customer Energy Management Services (End-User Services),Application - Others,Application - Transmission Infrastructure Services,Bulk Energy Services - Application 1,Bulk Energy Services - Application 2,Bulk Energy Services - Application 3,Captial Expenditure - CAPEX (USD),City,Commissioned Date,Constructed Date,Contact Information: Email Address,Contact Information: Name,Contact Information: Phone Number,Country,County,Data Source,Debt Provider,Decommissioned Date,Description/Notes,Developer,Energy Storage Technology Provider,Epc 1,Epc 2,Epc 3,Funding Source 1,Funding Source 2,Funding Source 3,Funding Source Amount 1 (USD),Funding Source Amount 2 (USD),Funding Source Amount 3 (USD),Grid Interconnection Level,ID,Installer,Interconnection Type,Iso/Rto,Latest Update Date,Latitude,Longitude,Number of Subsystems,O&M Contractor,Owner(s),Ownership Model,Ownership Model (Other),Paired Grid Resources,Postal Code,Power Electronics Provider,Project Data Validated?,Project Year,Project/Plant Name,Projected Payback Period (years),State/Province/Territory,Status,Street Address,Subsystem 1 - Communications,Subsystem 1 - Controller Type,Subsystem 1 - Depth of Discharge (%),Subsystem 1 - Efficiency Degradation,Subsystem 1 - Enclosure Operating Temperature (deg C),Subsystem 1 - Enclosures,Subsystem 1 - Energy Density (kWh/m^3),Subsystem 1 - Footprint (m^2/MWh),Subsystem 1 - Frequency Ride Through (FRT),Subsystem 1 - Full Load Efficiency (%),Subsystem 1 - High Voltage Ride Through (HVRT),Subsystem 1 - ID,Subsystem 1 - Lagging Power Factor Range,Subsystem 1 - Leading Power Factor Range,Subsystem 1 - Low Voltage Ride Through (LVRT),Subsystem 1 - Maximum Charge Power (kW),Subsystem 1 - Maximum Discharge Power (kW),Subsystem 1 - Maximum Total Current Harmonic Distortion (%),Subsystem 1 - Nominal AC Voltage (kV),Subsystem 1 - Nominal DC Voltage (kV),Subsystem 1 - Nominal Frequency (Hz),Subsystem 1 - Number of Cells,Subsystem 1 - Number of Phases,Subsystem 1 - Operating Frequency Range (Hz) High,Subsystem 1 - Operating Frequency Range (Hz) Low,Subsystem 1 - Operating Temperature (deg C),Subsystem 1 - Overload Capability (%),Subsystem 1 - Ramping Rate (kW/min),Subsystem 1 - Rated Power (kW),Subsystem 1 - Response Time (s),Subsystem 1 - Round-trip Efficiency (%),Subsystem 1 - Specific Energy (kWh/ton-metric),Subsystem 1 - Standby Energy Consumption (kWh),Subsystem 1 - Storage Capacity (kWh),Subsystem 1 - Storage Operating Temperature (deg C),Subsystem 1 - Subsystem Name,Subsystem 1 - Technology Sub-Type,Subsystem 1 - Time Allowed for Overload (s),Subsystem 1 - Topology,Subsystem 1 - Transformer Configuration,Subsystem 1 - Transformer Rating,Subsystem 1 - Warranty Lifetime (cycles),Subsystem 1 - Warranty Lifetime (years),Subsystem 1 - Warranty Lifetime (years) 1,Sum for kW Ancillary Service - Black Start,Sum for kW Ancillary Service - Frequency Regulation,Sum for kW Ancillary Service - Operating Reserve (Non-Spinning),Sum for kW Ancillary Service - Operating Reserve (Spinning),Sum for kW Ancillary Service - Operating Reserve (Supplementary),Sum for kW Ancillary Service - Ramp Support,Sum for kW Ancillary Service - Voltage Support,Sum for kW Bulk Energy Services - Arbitrage,Sum for kW Bulk Energy Services - Firming,Sum for kW Bulk Energy Services - RE Time Shift,Sum for kW Distribution Services - Distribution Upgrade Deferral,Sum for kW Distribution Services - Reliability,Sum for kW Other Services - Electric Supply Capacity,Sum for kW Other Services - Transportation Services,Sum for kW Transmission Services - Stability Damping Control,Sum for kW Transmission Services - Transmission Congestion Relief,Sum for kW Transmission Services - Transmission Upgrade Deferral,Sum for kWh Ancillary Service - Black Start,Sum for kWh Ancillary Service - Frequency Regulation,Sum for kWh Ancillary Service - Operating Reserve (Non-Spinning),Sum for kWh Ancillary Service - Operating Reserve (Spinning),Sum for kWh Ancillary Service - Operating Reserve (Supplementary),Sum for kWh Ancillary Service - Ramp Support,Sum for kWh Ancillary Service - Voltage Support,Sum for kWh Bulk Energy Services - Arbitrage,Sum for kWh Bulk Energy Services - Firming,Sum for kWh Bulk Energy Services - RE Time Shift,Sum for kWh Other Services - Electric Supply Capacity,Sum for kWh Other Services - Transportation Services,Sum for kWh Transmission Services - Stability Damping Control,Sum for kWh Transmission Services - Transmission Congestion Relief,Sum for kWh Transmission Services - Transmission Upgrade Deferral,System Operator,Technology Sub-Type,URL,Utility ID,Utility Type
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,80000,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Riva del Garda,11/4/1905,,,,,Italy,,GESDB,,,"Ponale Hydroelectric Power Plant is a pumped storage plant, located in city of Riva del Garda in the Italian province of Trentino, on River Ponale between Lake Ledro and Lake Garda. The station was built in 1928-1929 and underwent overhaul in 1998. The station is known by the world record in high-rise concrete pumping during the reconstruction in 1994. The achieved record was 532m.",,,,,,,,,,,,Transmission,1,,,,,45.8885171,10.84,1,,Enel,Utility-Owned,,,,,NO,11/4/1905,Ponale (Riva del Garda Ledro) Hydroelectric Power Station,,Trentino,Operational,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,80000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,80000,0,0,0,0,80000,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://www.enel.com,,Investor Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,7200,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Bielsa,1/1/1929,,,,,Spain,,GESDB,,,"Spain is facing many challenges trying to integrate a large amount of renewable energy (wind and solar) into real-time dispatch of its power generation to meet electricity demand. To meet sustainable criteria for grid stability and reliability, the major utilities in Spain are looking into alternative storage projects, and especially pumped storage projects. Spain has one of the most dynamic markets for pumped storage in southern Europe with a total installed capacity of 5, 350 MW in operation against a total estimated potential of 13,000 MW. Spain is slated to construct additional projects in the coming decades. One government report on renewable energy plans for 2011-2020 estimates a target installed capacity of about 6,300 MW by 2015 and 8,800 MW by 2020. Iberdrola, Gas Natural Fenosa (GNF), and Endesa are the three main utilities that are expected to undertake these developments to fulfill the government objective.",,,,,,,,,,,,Transmission,2,,,,,42.6334211,0.22,1,,Iberdrola,Third-Party-Owned,,,,,NO,1/1/1929,Urdiceto Hydroelectric Power Station,,Aragon,Operational,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,7200,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,7200,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://www.iberdrola.es/webibd/gc/prod/en/doc/INFORMEANUAL.pdf,,
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,29000,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,New Milford,1/1/1929,,,,,United States,,GESDB,,,"The Connecticut Light &amp; Power Company pioneered the use of pumped storage in the United States at this hydroelectric station. First operated in 1929, the Rocky River Plant had two reversible pumps that somewhat resemble large hydroelectric turbines. This permitted significant improvements in the system efficiency of the company's network of hydroelectric and thermal-electric power generating plants.  With Candlewood Lake and the Housatonic River differing in elevation by 200 feet, the Rocky River plant uses a single penstock, 1,000 feet long, to carry water downhill and lift it uphill. The Rocky River plant's pair of 8,100-horsepower pumps together are capable of lifting a million gallons every four minutes. At the time of their installation, they were largest of their kind in the world.   The Rocky River plant pumps water when the Housatonic River runs high. When the river runs low, water released from the lake to create electricity also raises the river level, helping generate additional power at two downriver plants. For every kilowatt-hour used to pump water, the three plants together can generate 1.3 kilowatt-hours.",Connecticut Light & Power Co.,,,,,,,,,,,Transmission,3,,,ISO-NE,,41.5782054,-73.4378544,1,,FirstLight Power Resources,Third-Party-Owned,,,06776,,NO,1/1/1929,Rocky River Pumped Storage Plant,,Connecticut,Operational,200 Kent Road,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,29000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,29000,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://www.asce.org/project/rocky-river-pumped-storage-hydraulic-plant/,,
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,135000,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),Resilience (Back-up Power),Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Sihlsee,1/1/1937,1/1/1932,,,,Switzerland,,GESDB,,,"The dam has a triangular cross section and a volume of 28 000 cubic meters. On the right side of the wall, the tunnel is running with a valve chamber, and from there to a 2900 meter long pressure tunnel to the water castle. The headrace tunnel is divided after the surge pressure in two lines, each 2,200 meters length. Due to this, the engine water reaches the turbines in the old village center.",,,,,,,,,,,,,4,,,,,47.1369626,8.78,1,,SBB CFF FFS,Customer-Owned,,,,,NO,1/1/1937,Etzelwerk Pumped Hydro Storage Power Station,,Einsiedeln,Operational,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,135000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,135000,0,0,0,0,135000,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://www.sbb.ch/sbb-konzern/sbb-als-geschaeftspartnerin/angebote-fuer-evus/energie/erzeugung/wasserkraftwerke/etzelwerk.html,,
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,30000,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Skhodnenskaya,1/1/1937,,,,,Russia,,GESDB,,,"<p>Skhodnenskaya SHPP is a hydropower plant that is a part of the Moscow canal in the north-west of Moscow, one of the electric power plants on the canal. The power plant was built in 1939 according to the diversion scheme, using the elevation difference between the Khimki Reservoir and the Shodnya River. Pressure structures of the hydropower plant form the Khimki Reservoir with the area of 4 sq.km. </p><p>The main source of water for the pressure reservoir are five pump stations of the canal with the aggregate capacity of 101 MW and the consumption of 350 mln kW▪h of electric power per year with the average daily consumption of about 72 sq. m./s. The power plant along with the pump stations is actually a pump storage complex — the emergency and peak backup power in the Moscow electric power system.</p>",,,,,,,,,,,,Transmission,5,,,,,55.850657,37.44,1,,Unknown,Utility-Owned,,,,,NO,1/1/1937,Skhodnenskaya Hydro Plant,,Moscow,Operational,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,30000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,30000,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://www.russiagogreen.ru/en/res/detail.php?ID=1648,,Investor Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,4.88,219600,45000,219600,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Štěchovice,1/1/1944,,,,,Czech Republic,,GESDB,,,"The Štěchovice Hydro Power Station was built between 1938 and 1947. The concrete dam with granite revetment is 22.5 m high and 120 m long. This waterworks includes a lock chamber, which overcomes the difference of 19.10 m between the lower and upper water levels and is unique in Europe, and also the reservoir of the pumped-storage power station Homole with a total capacity of 0.5 million m3, and two steel penstock shafts of 1.7 to 2 m diameter and length 590 m. The medium-head part of the power station with 2 Kaplan turbines with total installed capacity of 22.5 MW (2x11.25 MW) was commissioned in 1944. The pumped-storage power station was initially built between 1941 and 1947. After many years of intensive exploitation, it was shut down in 1991 and reconstructed between 1991 and 1996. Instead of two sets arranged in three stages of total capacity of 42 MW it is now equipped with a single set of a reversing Francis turbine and a motor generator, which give a total capacity of 220 MWh. The set is installed in an underground generator room built in a pit which is approximately 45 m high. The power station includes also two outdoor switching stations, 110 kV and 22 kV. Both parts of the power station are fully automatic and are controlled remotely from the Control Room of the Vltava Cascade.   The Štěchovice water reservoir was built between 1938 and 1944. The concrete dam with a granite revetment is 22.5 m high and 120 m long, with five spillways with crest gates. These spillways with the capacity of 2,400 m3/s are able to handle floods as catastrophic as the one in 1890.  The medium-head power station is equipped as a classic run-off-river hydroelectric power station, with two sets of Kaplan turbines. It further includes an outdoor 110 kV switching station, and outgoing and distribution transformers.",,,,,,,,,,,,,6,,,,,49.846401,14.42,1,,ČEZ Group,Utility-Owned,,,,,NO,1/1/1944,Štěchovice Pumped Hydro Station,,Central Bohemia,Operational,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,45000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,45000,0,0,0,0,45000,0,0,0,0,0,0,0,0,0,0,0,219600,0,0,219600,0,0,0,0,,Open-loop PHS,http://www.cez.cz/en/contacts/information-centers/stechovice-information-centers.html,,Investor Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,156000,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Campotosto,1/1/1949,,,,,Italy,,GESDB,,,"<p>Providence is the first system of hydroelectric power stations built along the Vomano Valley , located upstream of the hydroelectric St. James. It is a central cave that receives its water from the overlying Campotosto with a gallery of adduction of 1,102 m and a penstock of 240 m, the water is then returned to Lake Providence with a gallery of 683 m. It is equipped with two groups turbine / alternator Francis horizontal axis and a vertical axis. The machines also allow the reverse pumping water from Lake Providence to the Campotosto with a flow rate maximum total of 32.5 m³ / s to form the reserves to be used in the period of increased consumption of electricity .</p>",,,,,,,,,,,,Transmission,7,,,,,42.5575092,13.37,1,,Enel,Utility-Owned,,,,,NO,1/1/1949,Provvidenza Hydro Power Plant,,Abruzzi,Operational,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,156000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,156000,0,0,0,0,156000,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Provvidenza,,Investor Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,11000,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Villefranche-de-Panat,1/1/1951,,,,,France,,GESDB,,,"Alrance is a pumped storage hydroelectric power station in the commune of Alrance, Aveyron, southern France. It lies at the head of the Lac de Villefranche-de-Panat and draws water through 10.8 km long penstocks from the Lac de Pareloup.",Électricité de France (EDF),,,,,,,,,,,Transmission,8,,,,,44.10696045,2.695615538,1,,Électricité de France (EDF),Utility-Owned,,,12430,,NO,1/1/1951,Alrance Pumped Storage Power Station,,Aveyron,Operational,Lac de Villefranche-de-Panat,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,11000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,11000,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://www.hydrelect.info/articles.php?lng=fr&amp;pg=1163,,Investor Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,150000,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Bhira,1/1/1951,,,,,India,,GESDB,,,"Bhira, located about 150 km from Mumbai, was the third hydropower plant installed by The Tata Power Company Ltd. (TPCL) in 1927. Bhira power station with a 6 x 25 MW generating units (double overhang Pelton turbines), along with other hydro and thermal power stations forms a vital link in sustaining the industrial activity of Mumbai-Pune region of Maharashtra state. Realizing the crucial importance of peaking assistance to the grid, Tata Power had installed a pumped storage unit as an extension to the existing Bhira hydro power station. The Bhira pumped storage unit is the single largest such unit in India and is perhaps the only pumped storage unit operating in both pumping and generation mode in India at the time of its commissioning.",TaTa Powers,,,,,,,,,,,Transmission,9,,,,,18.4548333,73.39,1,,TaTa Powers,Third-Party-Owned,,,,,NO,1/1/1951,Bhira Pumped Storage Hydro Plant,,Maharashtra,Operational,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,150000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,150000,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://www.tatapower.com/whatsnew/silver-shield.aspx,,
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,2.5,375000,150000,375000,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Waldshut-Tiengen,1/1/1951,,,,,Germany,,GESDB,,,"The Waldshut power plant is the youngest child of the Schluchsee Group, which also includes the Witznau and Häusern pumped storage power plants. Waldshut is the lower level of the three-chain scheme and uses the Rhine as its lower basin.",Schluchseewerk AG,"Voith, Escher-Wyss",,,,,,,,,,Transmission,10,,,,,47.61773465,8.192712684,1,Schluchseewerk AG,"RWE, EnBW",Third-Party-Owned,,,79761,,NO,1/1/1951,Waldshut Pumped Storage Power Plant,,Baden-Württemberg,Operational,Kraftwerkstraße 13,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,150000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,150000,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,375000,0,0,375000,0,0,0,0,,Open-loop PHS,http://www.schluchseewerk.de/de/standorte/schluchseegruppe/kraftwerk-waldshut.html,,
