State,Regulated,Procurement target announced year,Procurement target due year,Procurement target (MW),Regulatory requirements,Demonstration programs,Financial incentives,Consumer protection measures
AL,1,,,,,,,
AK,1,,,,,,,
AZ,1,,,,1,,,
AR,1,,,,,,,
CA,,2013,2020,1825,1,,1,
CO,1,,,,1,,,1
CT,,2021,2030,1000,1,,,
DE,,,,,,,,
FL,1,,,,1,,,
GA,1,,,,,,,
HI,1,,,,1,,,
ID,1,,,,,,,
IL,,2025,2030,3000,,,,
IN,,,,,1,,,
IA,1,,,,,,,
KS,1,,,,,,,
KY,,,,,1,,,
LA,1,,,,,,,
ME,,2021,2030,400,1,,,
MD,,2023,2033,3000,1,1,1,
MA,,2018,2030,5000,1,1,,
MI,,2023,2030,2500,1,,,
MN,,,,,1,,,
MS,1,,,,,,,
MO,,,,,1,,,
MT,,,,,,,,
NE,1,,,,,,,
NV,1,2017,2030,1000,,,,1
NH,,,,,,,,
NJ,,2018,2030,2000,,,1,
NM,1,,,,1,,,
NY,,2019,2030,6000,,1,1,
NC,1,,,,1,,,
ND,,,,,,,,
OH,,,,,,,,
OK,1,,,,,,,
OR,,2015,2020,72,1,,,
PA,,,,,,,,
RI,,2024,2033,600,,,,
SC,1,,,,,,,
SD,,,,,,,,
TN,1,,,,,,,
TX,,,,,,,,
UT,1,,,,1,1,,
VT,,,,,,,,
VA,,2020,2035,3100,1,,,
WA,,,,,1,1,,
WV,1,,,,,,,
WI,,,,,,,,
WY,1,,,,,,,
DC,,,,,,,,
US,,,,,,,,
