,State,year,capacity_total,energy_total,n_units,capacity_new,n_units_new,solar_mw,wind_mw
0,AK,2016,45.0,16.0,3,0.0,0.0,0.0,60.6
1,AK,2017,46.2,17.0,4,0.0,0.0,0.0,60.6
2,AK,2018,46.2,17.0,4,0.0,0.0,0.0,60.6
3,AK,2019,47.2,17.9,5,1.0,1.0,0.0,61.6
4,AK,2020,47.2,17.9,5,0.0,0.0,0.0,60.4
5,AK,2021,47.2,17.9,5,0.0,0.0,0.8,59.6
6,AK,2022,93.7,110.9,6,46.5,1.0,0.8,59.6
7,AK,2023,93.7,110.9,6,0.0,0.0,7.7,59.6
8,AK,2024,133.7,190.9,7,40.0,1.0,7.7,59.6
9,AL,2016,110.0,110.0,1,0.0,0.0,75.0,0.0
10,AL,2017,111.0,112.0,2,1.0,1.0,182.2,0.0
11,AL,2018,111.0,112.0,2,0.0,0.0,196.9,0.0
12,AL,2019,111.0,112.0,2,0.0,0.0,196.9,0.0
13,AL,2020,111.0,112.0,2,0.0,0.0,196.9,0.0
14,AL,2021,111.0,112.0,2,0.0,0.0,423.9,0.0
15,AL,2022,111.0,112.0,2,0.0,0.0,423.9,0.0
16,AL,2023,111.0,112.0,2,0.0,0.0,603.9,0.0
17,AL,2024,111.0,112.0,2,0.0,0.0,666.3,0.0
18,AR,2019,12.0,26.2,2,12.0,2.0,112.2,0.0
19,AR,2020,12.0,26.2,2,0.0,0.0,213.7,0.0
20,AR,2021,12.0,26.2,2,0.0,0.0,223.7,0.0
21,AR,2022,22.0,56.2,3,10.0,1.0,329.7,0.0
22,AR,2023,22.0,56.2,3,0.0,0.0,820.9,0.0
23,AR,2024,28.2,73.0,6,0.0,0.0,1793.7,0.0
24,AZ,2016,280.0,0.0,2,0.0,0.0,1889.5,267.3
25,AZ,2017,300.0,5.0,4,20.0,2.0,2058.6,267.3
26,AZ,2018,312.0,53.0,6,12.0,2.0,2067.3,267.3
27,AZ,2019,322.0,93.0,7,10.0,1.0,2158.0,267.3
28,AZ,2020,322.0,100.5,7,0.0,0.0,2411.9,617.3
29,AZ,2021,377.0,253.0,9,55.0,2.0,2810.8,617.3
30,AZ,2022,377.0,252.5,9,0.0,0.0,3026.8,617.3
31,AZ,2023,1218.0,3100.0,24,841.0,15.0,3935.5,855.5
32,AZ,2024,2401.0,7926.8,35,1151.0,11.0,5336.5,1234.5
33,CA,2016,119.5,242.3,21,102.0,9.0,9861.7,5670.7
34,CA,2017,161.5,414.3,26,42.0,5.0,10760.0,5871.8
35,CA,2018,233.6,534.0,34,72.1,8.0,11837.6,6077.8
36,CA,2019,254.5,649.6,47,17.400000000000002,11.0,12795.4,6162.6
